0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,class
20.06,6.18,31020000,26.26,2841000,199951,27.3,-4.91,6018789,3.18,27.3884,75.17730769,15.33333333,30.10131982,36.72362518,2229,36.4,0
22.66,5.99,871560000,20.55,41533000,300000,24.1,-1.75,110818325,5.11,11.65333333,47.01153846,6,369.3944167,44.58437729,49962,46.9,0
17.58,6.53,259420000,19,10399000,716550,29.1,-1.83,36561813,9.23,6.736666667,10.088,25.5,51.02478962,70.24705505,22603,62.5,0
18.24,6.29,184450000,21.68,4732000,48670,27.9,-2.71,10597348,5.1,14.674,14.049,26.83333333,217.7388124,204.4960175,8823,81.1,0
17.78,5.57,110720000,25.73,16810000,147181,25.3,-4.12,30424878,3,6.266666667,21.90571429,3.7,206.7174296,14.48920441,5848,19.7,0
17.53,7.1,8443360000,39.55,521900000,3287263,28.7,-0.04,1339330514,8.5,6.91047619,14.15555556,3.8,407.430289,19.63145256,460780,34,0
33.34,9.02,40790000,29.41,7907000,390757,20.5,-4.93,14829988,11.3,1.285294118,14.59833333,12.16666667,37.95194456,39.2492218,5448,32.2,0
10.25,7.66,1206620000,6.58,37546000,513120,39,-0.03,69480520,0.99,3.952105263,16.78210526,10.7,135.4079358,210.4487305,34556,49.9,0
23.3,11.41,4880000,50.23,930800,30355,24.7,-4.59,2177740,28.1,0.565,14.93,13.33333333,71.74238182,72.45595551,637,28.2,0
10.49,10.33,261390000,2.15,2520000,338145,42.8,2.46,5587442,6.63,31.7884,160.948,24.93333333,16.52380488,3547.373047,4732,85.4,0
28.94,6.33,890000,45.3,72600,964,19.3,-7.57,213948,12.2,4.215,20.48333333,10.56666667,221.9377593,55.12792206,152,72.8,0
14.56,3.39,1543240000,12.58,13800000,2149690,30.8,5.04,34783757,6,20.87090909,46.08545455,35.73333333,16.18082468,926.9506836,28133,83.8,0
9.38,1.42,245660000,6.7,1953000,11586,33.7,4.3,2479995,8.9,27.1175,57.39444444,35.86666667,214.0510098,1281.521362,2672,99.1,0
12.09,8.01,342060000,2.34,2699000,323802,39.5,3.95,5509591,3.72,37.09136364,160.0888889,24.96666667,17.01530874,7029.852539,4403,82.2,0
10.87,1.51,655790000,5.25,5344000,83600,38.4,-3.18,9856612,1.6,18.32157895,37.0262069,31.8,117.9020574,937.3599854,8256,86.5,0
28.49,7.54,23170000,52.05,1437000,1030700,21,-0.74,4079284,10.2,1.565714286,8.738571429,11.3,3.957780149,19.54978752,2437,53.7,0
26.44,4.36,1223040000,18.25,24113000,1001450,24.1,-0.34,106437241,7.86,7.534285714,19.95375,31.03333333,106.2831305,36.07154846,42438,42.7,0
30.09,7.16,23860000,63.25,195200,28051,20.3,0,857008,8.6,3.075,4.4,7.466666667,30.55178069,62.43690491,948,72.1,0
22.43,7.17,5420000,47.78,294600,23200,24.9,4.81,938413,40,1.872,6.256,12.2,40.44883621,35.12189484,756,77.8,0
35.23,6.24,60120000,37.91,6898000,752618,16.9,0.33,19077816,15,0.735714286,7.864285714,6.5,25.34860447,29.70040321,7664,43.5,0
36.08,12.57,77040000,106.75,8478000,652230,19.5,-0.1,37466414,23.9,2.3225,3.564545455,4.466666667,57.44356132,2.57800722,9273,25.5,0
22.98,6.61,2730000,58.21,278500,2235,20.9,-2.28,864335,6.5,1.8575,6.998333333,6.9,386.7270694,6.04044008,241,29,0
20.84,7.15,70080000,45.62,8913000,181035,26.4,-0.29,17304363,0.3,1.917777778,8.862,3.5,95.58573204,19.26422501,3800,23.4,0
17.88,5.44,793490000,31.13,66640000,148460,27.9,-2.93,164098818,4.4,4.030555556,2.529375,3.4,1105.34028,7.11578894,60944,36.6,0
7,11.44,5224850000,1.92,66540000,377915,48.6,0.75,124687293,2.36,20.65666667,104.0533333,4.366666667,329.9347552,3587.73877,116522,91.6,0
19.24,4.32,468400000,20.23,10859000,2381740,28.9,-0.84,43576691,11.7,13.764,20.266,26.66666667,18.29615785,168.4496613,30510,72.6,0
9.13,3.93,531040000,1.56,3778000,719,35.6,4.26,5866139,2.25,16.92266667,52.378125,6.6,8158.746871,1421.570923,5792,100,0
26.14,5.76,32050000,29.45,557800,267667,21,3.76,2284912,28,2.9975,34.99,13.4,8.536397838,127.9610519,1848,89.4,0
26.95,6.1,1021130000,55.26,61710000,796095,22,-0.92,238181034,6,7.6128,4.660434783,7.8,299.1866976,15.23525143,73630,36.7,0
28.59,4.66,28440000,34.19,7000000,118484,16.8,0,20308502,20.4,0.233333333,3.635,4.7,171.4029067,10.25176048,3246,16.9,0
31.31,7.55,55260000,47.72,6966000,196722,19.4,-1.24,16082442,48,1.251428571,3.39,7.233333333,81.75212737,14.00303841,7690,47.2,0
13.12,6.56,19160000,1.66,200000,103000,37.1,3.09,354234,3.62,37.798,178.14,23.1,3.439165049,5379.646484,317,93.8,0
27.18,5.95,27180000,27.16,6227000,26338,19.7,-3.27,12943132,2.7,1.04,7.392,4.7,491.4242539,18.35476875,2152,17.2,0
26.78,5.09,226940000,28.81,19600000,580367,20,-0.2,54685051,40,1.712222222,8.855833333,5.966666667,94.22494904,37.2430191,13772,27,0
12.35,6.78,1250900000,3.05,12568000,7741220,37.5,7.49,25809973,5.16,30.722,101.7314286,30.4,3.334096305,3747.028809,21307,86,0
31.45,5.67,4190000,34.47,286700,14874,19.6,-3.84,1413958,4.4,7.058333333,13.58916667,2.933333333,95.06239075,56.8204689,405,30.6,0
22.08,5.97,36690000,40.33,3681000,462840,24,0,7399757,2.5,0.564,4.776,19.43333333,15.98772146,44.66556931,1109,13.2,0
41.6,5.17,99610000,31.49,15840000,241038,15.7,-3.37,44712143,9.4,1.128,13.00222222,3.45,185.4983156,6.82905865,10525,23.8,0
33.63,6.41,176400000,43.15,11920000,1861484,18.3,-1.71,46751152,19.6,3.243333333,9.55625,23.5,25.11498998,13.74672318,14380,34.6,0
21.4,7.29,31620000,41.29,4594000,27750,24.1,-1.9,11198240,40.6,1.85,4.92,20.4,403.5401802,7.69670486,6143,55.3,0
38.03,10.59,38420000,63.03,12900000,799380,17,-1.62,30888034,24.5,0.556,4.172380952,5.9,38.63998849,8.52427864,10987,36,0
25.21,5.69,73630000,47.56,7425000,527968,19.8,-0.19,30399243,27,3.484,7.34,14.06666667,57.57781343,2.5,10595,36.6,1
35.91,7.93,94940000,50.09,9912000,475440,18.5,-0.32,28524175,4.3,0.916666667,5.942571429,9.533333333,59.99532012,3.22656012,13912,56.4,0
